Text,Language
भारतीय खाना स्वादिष्ट और विविधतापूर्ण होता है,Hindi
الطاقة الشمسية مصدر متجدد ونظيف,Arabic
Thư viện có hàng nghìn cuốn sách quý giá,Vietnamese
Санкт-Петербург — красивый город на берегу Невы,Russian
Nous allons au cinéma ce soir pour voir un film,French
التعليم هو أساس التطور والنهضة للأمم,Arabic
学生たちは試験勉強に熱心に取り組んでいます,Japanese
The annual conference attracted thousands of attendees,English
La technologie évolue rapidement dans notre société,French
İzmir Ege kıyısında güzel bir liman şehridir,Turkish
Er hat sein Studium mit Auszeichnung abgeschlossen,German
Mañana tenemos una reunión importante en la oficina,Spanish
Publiczny transport w miastach działa sprawnie,Polish
"Dzień dobry, jak się dzisiaj czujesz?",Polish
The restaurant serves authentic Italian cuisine,English
Hun dimitterede med topkarakter fra universitetet,Danish
Domani partirò per un viaggio in Toscana,Italian
Nous mangeons ensemble en famille chaque dimanche,French
La cuisine française est reconnue dans le monde entier,French
Я изучаю русский язык уже несколько лет,Russian
再生可能エネルギーの普及が進んでいます,Japanese
Studio italiano da tre anni con grande passione,Italian
Die deutsche Wirtschaft ist eine der stärksten in Europa,German
Öğrenciler sınavlara çok çalışarak hazırlanıyorlar,Turkish
新幹線は日本の誇る高速鉄道システムです,Japanese
Stockholm är Sveriges vackra huvudstad vid vattnet,Swedish
الأدب العربي القديم يحتوي على روائع خالدة,Arabic
Công nghệ đã thay đổi cách chúng ta giao tiếp,Vietnamese
Mi familia vive en un pueblo pequeño cerca del mar,Spanish
Środowisko naturalne wymaga ochrony i troski,Polish
Öğrenciler sınavlara çok çalışarak hazırlanıyorlar,Turkish
O clima do nordeste do Brasil é quente e semiárido,Portuguese
上海是中国最重要的经济中心之一,Chinese
Ekonomi son yıllarda önemli gelişmeler kaydetti,Turkish
மாணவர்கள் தேர்வுக்கு கடினமாக படிக்கிறார்கள்,Tamil
Vịnh Hạ Long là một kỳ quan thiên nhiên thế giới,Vietnamese
وہ یونیورسٹی سے اعلیٰ نمبروں سے فارغ ہوئیں,Urdu
The concert hall was packed with enthusiastic fans,English
Il paesaggio italiano è tra i più belli del mondo,Italian
பொருளாதார வளர்ச்சி அனைவருக்கும் நன்மை பயக்கும்,Tamil
"Hola, ¿cómo estás hoy?",Spanish
디지털 전환이 모든 분야에서 일어나고 있습니다,Korean
تعلیم ہر انسان کا بنیادی حق ہے,Urdu
"God morgon, hur mår du idag?",Swedish
Die Kinder spielen im Garten nach der Schule,German
Η οικονομία ανακάμπτει σταδιακά τα τελευταία χρόνια,Greek
கல்வி மனித வளர்ச்சிக்கான அடித்தளமாகும்,Tamil
В парке много красивых цветов весной,Russian
Hållbar energi är mycket viktig i Sverige idag,Swedish
Środowisko naturalne wymaga ochrony i troski,Polish
Die neue U-Bahn-Linie verbessert den öffentlichen Nahverkehr,German
日本料理は世界中で非常に人気があります,Japanese
저는 한국어를 배우는 것을 즐깁니다,Korean
Trí tuệ nhân tạo đang cách mạng hóa nhiều ngành,Vietnamese
La lingua italiana suona come musica alle orecchie,Italian
富士山は日本の最高峰で象徴的な山です,Japanese
"Buenos días, ¿en qué puedo ayudarte?",Spanish
Новые законы направлены на защиту окружающей среды,Russian
اسلام آباد پاکستان کا دارالحکومت ہے,Urdu
இந்திய கலாச்சாரம் மிகவும் பன்முகத்தன்மை கொண்டது,Tamil
De studenten bereiden zich voor op hun eindexamens,Dutch
De Nederlandse taal heeft veel woorden geleend van het Frans,Dutch
پاکستانی کھانا بہت لذیذ ہوتا ہے,Urdu
Je parle français couramment depuis mon enfance,French
Το μουσείο εκθέτει αρχαία ελληνικά αντικείμενα,Greek
गंगा नदी भारत की पवित्र नदियों में से एक है,Hindi
毎朝新聞を読んで情報を収集しています,Japanese
La pizza napoletana è la migliore del mondo,Italian
भारतीय सिनेमा दुनिया में बहुत लोकप्रिय है,Hindi
أحب قراءة الكتب والتعلم المستمر,Arabic
公共交通系统在大城市非常发达,Chinese
He completed the marathon in under four hours,English
El fútbol es el deporte más popular en España,Spanish
Η Ελλάδα έχει πολλά όμορφα νησιά στο Αιγαίο,Greek
학생들이 시험을 위해 열심히 공부하고 있습니다,Korean
La lingua italiana suona come musica alle orecchie,Italian
Uwielbiam czytać polską literaturę klasyczną,Polish
Dzieci uczą się szybko języków obcych,Polish
Duurzame energie wordt steeds belangrijker in Nederland,Dutch
قابل تجدید توانائی اہمیت اختیار کر رہی ہے,Urdu
Teknologi forandrer vores måde at arbejde på,Danish
Die Schüler bereiten sich auf ihre Prüfungen vor,German
Uwielbiam czytać polską literaturę klasyczną,Polish
Năng lượng tái tạo ngày càng quan trọng hơn,Vietnamese
Odnawialne źródła energii zyskują na znaczeniu,Polish
Zij heeft haar studie cum laude afgerond vorig jaar,Dutch
Die Bibliothek hat eine große Auswahl an Büchern,German
Müze zengin Osmanlı tarihi eserlerini sergilemektedir,Turkish
La bibliothèque municipale est ouverte tous les jours,French
Детям нравится играть в снегу зимой,Russian
"Merhaba, bugün nasılsınız?",Turkish
The train arrived at the station right on time,English
Studenter forbereder sig grundigt til eksamener,Danish
Ekonomi son yıllarda önemli gelişmeler kaydetti,Turkish
인공지능 기술이 산업 전반을 변화시키고 있습니다,Korean
中国的历史非常悠久和丰富,Chinese
Domani partirò per un viaggio in Toscana,Italian
Ik leer al twee jaar Nederlands spreken,Dutch
"Godmorgen, hvordan har du det i dag?",Danish
Odnawialne źródła energii zyskują na znaczeniu,Polish
Музей искусств располагает уникальной коллекцией,Russian
وہ یونیورسٹی سے اعلیٰ نمبروں سے فارغ ہوئیں,Urdu
Il calcio è lo sport nazionale italiano,Italian
Teknoloji hayatımızı köklü bir şekilde değiştirdi,Turkish
Język polski jest trudny ale bardzo interesujący,Polish
Cơ sở hạ tầng giao thông đang được nâng cấp,Vietnamese
O Brasil é o maior país da América do Sul,Portuguese
Tiếng Việt có sáu thanh điệu khác nhau,Vietnamese
El español es el segundo idioma más hablado del mundo,Spanish
東京は日本の首都で世界最大の都市の一つです,Japanese
"Goedemorgen, hoe gaat het met u vandaag?",Dutch
مرحباً، كيف حالك اليوم؟,Arabic
Das Museum zeigt Kunstwerke aus dem 18. Jahrhundert,German
Việt Nam có nhiều di sản văn hóa phong phú,Vietnamese
Η τεχνολογία αλλάζει τον τρόπο εργασίας μας,Greek
Mon chien aime se promener dans la forêt,French
"Guten Morgen, wie geht es Ihnen heute?",German
La France est connue pour ses vins et ses fromages,French
மாணவர்கள் தேர்வுக்கு கடினமாக படிக்கிறார்கள்,Tamil
प्रौद्योगिकी ने हमारे जीवन को बदल दिया है,Hindi
Tôi làm việc tại một công ty công nghệ ở Hà Nội,Vietnamese
Русский балет известен во всём мире своим мастерством,Russian
한국 음식은 전 세계에서 인기가 높습니다,Korean
"నా పేరు రాజు, నేను హైదరాబాద్ లో నివసిస్తున్నాను",Telugu
తెలుగు అక్షరాలు చాలా అందంగా ఉంటాయి,Telugu
మా ఊరిలో ప్రతి సంవత్సరం ఉత్సవాలు జరుగుతాయి,Telugu
నేను ప్రతి రోజు పత్రిక చదువుతాను,Telugu
మన తెలుగు నేల చాలా సారవంతమైనది,Telugu
విద్యావంతులైన యువత దేశానికి సేవ చేయాలి,Telugu
తెలుగు భాషలో అనేక కావ్యాలు రచించబడ్డాయి,Telugu
మా అమ్మ వంట చాలా రుచిగా ఉంటుంది,Telugu
పండగలు మన సంస్కృతిలో భాగం,Telugu
తెలుగు నాట్యం ప్రపంచ ప్రసిద్ధి చెందింది,Telugu
నది ఒడ్డున చెట్లు పెరగడం చాలా అందంగా ఉంటుంది,Telugu
పిల్లలు ఆడుకోవడం వారి హక్కు,Telugu
మన దేశంలో అనేక పర్యాటక స్థలాలు ఉన్నాయి,Telugu
కంప్యూటర్ విద్య నేడు చాలా అవసరం,Telugu
తెలుగు సినిమాలు చాలా అద్భుతంగా ఉంటాయి,Telugu
మన పూర్వీకులు మనకు గొప్ప వారసత్వం అందించారు,Telugu
వ్యవసాయం మన దేశ ఆర్థిక వ్యవస్థకు మూలం,Telugu
తెలుగు పాటలు వినటం చాలా ఆనందంగా ఉంటుంది,Telugu
సంస్కృతి మరియు సంప్రదాయాలు కాపాడాలి,Telugu
గ్రామాలలో జీవితం ప్రశాంతంగా ఉంటుంది,Telugu
తెలుగు రాష్ట్రాలు సాంస్కృతిక వైభవానికి నిలయాలు,Telugu
చదువు సంస్కారానికి మూలం,Telugu
పర్యావరణ కాలుష్యం తగ్గించాలి,Telugu
ముందు తరాలకు మంచి భవిష్యత్తు కలిగించాలి,Telugu
తెలుగు వారి ఆతిథ్యం అనన్య సామాన్యమైనది,Telugu
నాకు తెలుగు చాలా ఇష్టం,Telugu
మీరు ఎలా ఉన్నారు,Telugu
ఈ రోజు చాలా మంచి రోజు,Telugu
నేను హైదరాబాద్‌లో ఉంటాను,Telugu
తెలుగు నా మాతృభాష,Telugu
